id	comentario	data	autor	dominio	avaliacao_dominio	estrelas	avaliacao_conceitual
95	Depois de muito esperar e analisar, acabei comprando o Galaxy S3. No principio fiquei encantado com a camera e o tamanho da tela - ambos úteis para o meu propósito de fazer vídeos. Depois comecei a esbarrar em detalhes que podem ser melhorados. Os botões de volume e de ligar/desligar ficam na mesma posição, em sentidos opostos. Isso quer dizer q no fim acabamos girando o telefone e clicando no lugar errado. Depois descobri que as melhores apps para filmagem (como o FilmicPro) só estão disponíveis para Apple ioS. A estabilização da câmera é fraca, portanto para fazer algo realmente bom precisa de um tripé ou monopé. Como o cabo de áudio é igual ao apple dá pra ligar dois microfones de lapela a um splitter e usar para gravar entrevistas (um dos meus objetivos). A agenda achei fraca e estou tendo dificuldade de sincronizar com o google calendar (embora esteja configurado). Daí instalei um APP de agenda Business Calendar q tem mais a ver com o q eu preciso - uma agenda de trabalho. O áudio é excelente, um som limpo e claro e com ótimo volume. Espero q esse comentário ajude alguém. abç Lucas Selbach	2013-08-22 00:00:00	lucas.selbach	buscape		4	BM
96	otimo produto recomendo a todos que queira comprar, o custo dele é um pouco elevado, mais vale a pena por tudo que ele tem e proporciona pra nos osuarios do samsung galaxy S3.	2013-08-21 00:00:00	jaison	buscape		5	SF
97	aaa	2013-08-20 00:00:00	e-bit	buscape		5	IF
98	eu quero	2013-08-19 00:00:00	keith santos mata...	buscape		5	IF
99	Realmente o Samsung Galaxy S III representa um avanço no mundo dos celulares , contribuindo para alta qualidade das imagens e vídeos via dispositivos móveis , e deixa claro a busca por interação cada vez maior com os usuários através de novas ferramentas inteligentes que ajudam a aproximar os usuários do entretenimento e melhor performance profissional.	2013-08-19 00:00:00	lazaro inacio ara...	buscape		4	BM
100	meus amigos tem e não reclamam do aparelho só falam vantagens, eles recomendam, quem quiser gastar em um smartphone é um ótimo aparelho	2013-08-19 00:00:00	leno	buscape		5	SF
101	TEnho o Galaxy S3 duos que é um pouco inferior nas configurações. mas o celular é otimo.	2013-08-19 00:00:00	adrianopromissao	buscape		5	SF
102	Minha amiga tem um desse er um aparelho maravilhoso ainda vou ter o meu.	2013-08-19 00:00:00	graice farrias	buscape		1	IF
103	Muito leve e fino, fácil de manuseá-lo com uma mão apenas. É preciso carregar a bateria 1 vez por dia, mas isso é totalmente compreensível devido aos recursos que ele tem.	2013-08-17 00:00:00	renato boscolo da...	buscape		5	SF
104	O Galaxy s3 é um celular que nos atende em todos os requisitos de qualidade,exceto durabilidade da bateria.Mas isso não é só ele!É um celular bonito pratico e de bastante qualidade:a camera é otima a velocidade do processador etc... Comprei há pouco tempo e não me arrependo, aconselho a todos que procuram um celular de altissima performance. A sansung é pra mim a melhor!!!	2013-08-16 00:00:00	ramon menezes	buscape		5	BM
105	Inovador funções específicas como NFC, que deixa o compartilhamento mais pessoal!	2013-08-15 00:00:00	harlleson	buscape		4	IF
106	atendeu minhas expectativas	2013-08-14 00:00:00	e-bit	buscape		5	IF
107	uma parelho objetivo e funcional com uma otima tela , bom no tamanho e nas funcionalidades otimo desempenho nao trava com boa memoria interna e um maravilhoso processador . um dos melhores smart ja fabricados. e com uma marca que e a melhor atualmente	2013-08-13 00:00:00	nilton	buscape		5	BM
108	O samsung galaxy s3 não é somente um celular, é um aparelho incrível algo que se fosse mais barato todos deveriam ter, Se acostuma muito com o seu dono, não é somente aquele aparelho que compramos e usamos normalmente, ele faz tudo e mais um pouco, Com todos os seus sensores se torna muito funcional e sua câmera... Quem tem um celular desses a não ser que queira fotos profissionais nem precisam comprar câmeras compactas, Ele é incrivelmente incrível talvez o melhor custo beneficio atual, Seus desempenho e surpreendente. Galaxy s3 eu realmente recomendo, Parabéns samsung, Quando disseram disseram disigned for humans não pensei que fosse assim. Oque não gostei: Para um celular com um preço elevado como o do galaxy s3 acho que deveria ter uma bateria e um material de melhor qualidade, Plastico e ainda por cima fino em um celular desses? Fora isso mais nada	2013-08-13 00:00:00	gean alexsander	buscape		4	BM
109	O samsung galaxy s3 não é somente um celular, é um aparelho incrível algo que se fosse mais barato todos deveriam ter, Se acostuma muito com o seu dono, não é somente aquele aparelho que compramos e usamos normalmente, ele faz tudo e mais um pouco, Com todos os seus sensores se torna muito funcional e sua câmera... Quem tem um celular desses a não ser que queira fotos profissionais nem precisam comprar câmeras compactas, Ele é incrivelmente incrível talvez o melhor custo beneficio atual, Seus desempenho e surpreendente. Galaxy s3 eu realmente recomendo, Parabéns samsung, Quando disseram disseram disigned for humans não pensei como fosse assim.	2013-08-13 00:00:00	gean alexsander	buscape		5	BM
110	É um excelente celular, rápido com uma tela grande e com excelente resolução, mas o gorilla glass só funciona no papel, risca somente de colocar no bolso da calça, meu antigo iphone era mais resistente. Mas ainda assim é um belo celular, com uma durabilidade razoável da bateria, levando em consideração a intensidade de uso e tamanho da tela, aconselho a colocar uma película logo de cara, a tela risca facilmente e o plastico da carcaça é uma casca de ovo. Acho que pelo preço cobrado, poderiam ter investido em maior qualidade.	2013-08-13 00:00:00	e-bit	buscape		4	BM
111	Aparelho dos sonhos!! Fácil de manusear, muito leve, o display é ótimo!! Só tenho pontos positivos para falar deste aparelho! Acessa a internet com muita velocidade, tira foto de vídeos ou clips, a câmera é excelente, memória mais do que suficiente etc etc! Recomendo com nota 10!!!	2013-08-13 00:00:00	poujo	buscape		5	BM
112	Eu só cheguei a usar este produto por meio de um amigo, pouco tempo para dar detalhes. Mas apesar de tudo eu recomendo por ser um produto bom, bom touch, boa maneira de mexer, boa câmera, rápido.	2013-08-12 00:00:00	josé neto	buscape		5	BM
113	Produto excelente . A foto no escuro fica ótima.	2013-08-12 00:00:00	bruna	buscape		5	SF
114	eu acho esse produto muito bom pra tudo pra jogar,entrar na internet,e aplicativos	2013-08-12 00:00:00	italo	buscape		5	SF
115	Estava abitolado com a ideia de obter um aparelho que me atendesse em aspectos que eu preciso. Escolhe este produto por possuir um belo designe, uma câmera ótimo par gravação, e suportar aplicativos de jogos que gostaria de ter para passar meu tempo em quanto viajo.Apesar não possuir uma bateria necessária-mente "durável" , me parece útil nestas condições. Ainda não adquiri o meu, mais breve estarei adquirindo para que possa desfrutar destas qualidades.	2013-08-11 00:00:00	ramon de castro r...	buscape		5	BM
116	Fácil de manusear, muitas funções de fácil acesso.	2013-08-11 00:00:00	e-bit	buscape		5	SF
117	ACABAMENTO e BELEZA O Galaxy S3 tem um belo acabamento e todo a aparelho é bem construído, muitos falam sobre a qualidade do material usado no aparelho, não vi em nenhum momento algo que possa tirar pontos do aparelho por usar o que muitos chamam de ?plástico?. O formato arredondando deixa o aparelho com uma pegada incrível, a tela de 4.8 não transforma o aparelho em um ?mostro? por conta do tamanho. Eu não faço parte desse grupo que fala para todos os cantos que o Galaxy S3 é um aparelho muito grande. Como comparação, o Galaxy S2 é só um pouco menor do que o S3. Um ponto que mudei de opinião ao usar o aparelho é sobre a falta de um botão dedicado para tirar fotos. Ele só faz falta na hora de tirar fotos de você mesmo, fora isso não foi nenhum um problema, por sinal isso é até melhor, pois evita uma tremida na hora de tirar uma foto e isso é importante. TELA e BATERIA Uma tela de 4.8 polegadas com tecnologia HD Super AMOLED e resolução de 720 x 1280 pixels (densidade de 306 ppi), fazem com que o Galaxy S3 tenha um ponto a favor muito grande se for comparar com outros aparelhos. Sem deixar o aparelho muito grande, a tela do Galaxy S3 melhora em vários aspectos como: navegar, jogar, vídeos, imagens etc. Não pense que a tela do aparelho ?só cresceu?, tudo é visto com muito mais qualidade no Galaxy S3.	2013-08-10 00:00:00	marilei miranda	buscape		5	SF
118	Amei o Galaxy S3, é rápido e e tem uma câmera perfeita, recomendo a todos! Gostei do atendimento e o produto chegou muito muito rápido nota 1000.	2013-08-09 00:00:00	isabela de souza ...	buscape		5	BM
119	É um produto muito bom em tamanho, qualidade, características, funções...	2013-08-09 00:00:00	e-bit	buscape		5	SF
120	Mesmo ainda com outros lançamentos, como o S4, vejo que não compensa mudar de celular...não há tanta diferença... Irei ficar com ele até o s5 e esperar para ver...Não há necessidade de investimento em outro aparelho, roda tudo e não trava... Excelente!	2013-08-09 00:00:00	andre	buscape		5	SF
121	S3 é sem dúvida um aparelho EXCELENTE. O único porém fica não para o produto em si, mas pra política de atualizações da Samsung que deveria ser mais incisiva ao cobrar as ultimas versões do Android frente às operadoras.	2013-08-09 00:00:00	thiago messias so...	buscape		5	SF
122	Eu utilizo quase todas as funções, inclusive o polaris, onde coloco minhas planilhas. Acho super funcional, designer lindo, tela no tamanho ótimo para um smartphone. A única coisa que poderiam melhorar, é a durabilidade da bateria, que descarrega fácil; mas isso é o mal de todos os aparelhos similares.	2013-08-09 00:00:00	nair rocha	buscape		5	BM
123	Excelente, recomendo para todos.	2013-08-08 00:00:00	e-bit	buscape		5	SF
124	A bateria poderia durar mais. Ocasionalmente ele demora a carregar a tela quando tocamos no "fone" ou no "contatos", (a tela fica preta) então tenho que reiniciar o telefone para ele ficar mais rápido. No Brasil todo telefone é caro para o benefício ofertado. Mesmo assim é um bom telefone e com certeza recomendo a compra.	2013-08-08 00:00:00	e-bit	buscape		4	BM
125	Nossa! nem da pra colocar aqui tantas caracteristicas positivas, suas fotos são maravilhosas, dando total possibilidade rotativa, sua imagem é em tempo real, sua funcionalidade não tem segredos, enfim esse produto é um espetáculo.	2013-08-06 00:00:00	elaine fernandes	buscape		5	SF
126	USEI UM SAMSUNG GALAXY NOTE E É MUITO BOM PARA QUEM DESEJA UM APARELHO MULTI FUNCIONAL É EXCELENTE	2013-08-06 00:00:00	stef pinheiro de ...	buscape		5	IF
127	é um produto de excelente marca e de boa duração tenho um a quase 1 ano e nunca deu defeito e otimo internet, o desing é otimo com facil locomoção muito prtico perfeito para qualquer lugar.	2013-08-06 00:00:00	maria claudia san...	buscape		5	BM
128	É um produto moderno e que atende minhas necessidades do dia a dia.	2013-08-05 00:00:00	e-bit	buscape		5	SF
136	Ao comprar o celular, a primeira coisa que chama atenção é o tamanho da tela. Ela lhe cativa rapidamente e, após uma semana usando o aparelho, qualquer outra tela parece insuficiente. A ergonomia do aparelho é um pouco comprometida, a posição dos botões power e de volume são diferentes, especialmente pra quem tem costume com iphone, pois os botões são opostos, um em cada lateral do aparelho e na mesma altura. Logo, quem não tem costume, ao apertar o botão com o celular na mão, sempre acaba apertando os dois juntos, mas com a prática de alguns dias isso se resolve. A posição de saída do audio também não é das melhores, pois a samsung a colocou inteiramente em uma caixa na parte traseira ao lado da câmera e, se voce atender ou por para tocar musicas com o telefone no colo, ou mesmo pousado na mesa, o audio vai ficar abafado por estar saindo por baixo. A tela, apesar de muito boa, acaba ficando bem escura quando saimos ao sol e em casos extremos fica até difícil visualizar, mesmo com brilho no máximo. A lateral de alguns aparelhos descascam com o uso, a qualidade de acabamento é frágil e a tela trinca com pequenas quedas. Concluindo, se você é cuidadoso e precisa de um bom aparelho, o s3 ainda é uma boa pedida por estar com um bom custo x benefício após o lançamento do galaxy s4. Contudo, se você é exigente e quer rodar os jogos mais potentes recentemente lançados, o galaxy s3 não lhe atenderá, pois possui acabamento simples e um hardware que já não é mais o top de linha.	2013-08-02 00:00:00	moises januario d...	buscape		3	IF
145	Um amigo meu tem um. Além de ser de fácil manuseio e variedade de utilidades é muito prático.	2013-08-01 00:00:00	ariel thadeu macagi	buscape		1	SF
149	otimo produto	2013-08-01 00:00:00	tiago lima	buscape		4	SF
157	Aproveito muito todas as funçoes do Galaxy, um otimo smartphone para quem procura rapidez e durabilidade, sem contar com um otimo display.	2013-07-31 00:00:00	jefferson marques...	buscape		4	BM
162	O Galaxy S3 é um dos mais bonitos e mais potentes smartphones disponíveis no mercado. O processador quad-core( são como 4 mini processadores funcionando ao mesmo tempo) é, sem dúvida,o principal responsável pela inicialização rápida,apps rodando fluidamente... A tela de 4,8" conta com as tecnologias SUPERAMOLED (Maior qualidade de imagem) e Gorila Glass( Maior resistência) A câmera traseira de 8 megapixels traseira consegue boas fotos,em locais com boa luminosidade! E quando não se faz presente a luminosidade o flash ?quebra um galho? E a câmera frontal de 1,9 megapixels consegue fotos razoáveis! A bateria tem uma boa duração...aguentando um dia inteiro com uso médio de jogos e internet! Caso você o deixe cair no chão,não ira gostar do seu "novo" aparelho Resistência é um dos requisitos que certamente deveriam estar contidos no valor, mas não é essa a impressão que você tem ao manusear o produto. A tampa que protege a bateria, por exemplo, é feita de um material tão fino que o menor esforço no ponto errado já pode ser capaz de tirar uma lasca do smartphone. O botão frontal, embora característico da linha Galaxy, também é outro ponto questionável, uma vez que com uma tela tão ampla ele bem poderia ser adaptado para ser como o das funções ?menu? e ?voltar?. Cuiadado para não queimar sua mão,pois o aparelho em uso constante...esquenta e muito! Enfim....Agora com o lançamento do galaxy s4 este aparelho esta bem mais em conta....sendo assim vale a pena adquirir-lo!	2013-07-31 00:00:00	daniel coletto	buscape		4	BM
165	produto bom pra uso no dia a dia , uso para receber e enviar emails como deve ser um verdadeiro smartphone	2013-07-31 00:00:00	crv castro	buscape		4	SF
167	Produto ótimo. Único problema é a pouca durabilidade da bateria.	2013-07-31 00:00:00	e-bit	buscape		4	SF
174	ótimo produto da Sansung uns dos modelos top de linha, eu recomendo e uso este produto sem ao menos ter a desconfiança, eu acho essa beleza uns dos mais bonitos dos celulares tops e de ótimo uso e cumpre o seu papel para a nossa necessidade!	2013-07-30 00:00:00	willyann santos	buscape		4	SF
175	Bom produto, boa tela. A bateria deixa um pouco a desejar, como possui uma tela grande, deveria ter uma bateria maior para compensar o alto consumo de bateria. Mas estou satisfeito com o produto.	2013-07-30 00:00:00	e-bit	buscape		4	BM
177	Produto bom, mas lento para carregar video na net.	2013-07-30 00:00:00	amanda ignacio	buscape		4	SF
180	O Smartphone Samsung Galaxy S III GT-I9300 é simplesmente completo, bonito, leve e prático. Um smartphone que me atende em todos os requisitos e que a cada dia descubro novas funções, me surpreendendo mais e mais com tamanha tecnologia!	2013-07-30 00:00:00	wellington freitas	buscape		4	SF
181	eu estou loco para ter	2013-07-30 00:00:00	eiri teixeira eme...	buscape		4	IF
183	Muito fácil de operar, de usar as funções principais, vídeos e fotos em boa resolução, recomendo o iPhone 5 porque é produto realmente bom, apenas deixa a desejar com a durabilidade da bateria, pois para usar as funções principais gasta muito rápido.	2013-07-29 00:00:00	camile marcondes	buscape		1	BM
186	JÁ TIVE A OPORTUNIDADE DE TE-LO EM MINHAS MÃOS,E A EXPERIÊNCIA FOI INCRÍVEL.	2013-07-29 00:00:00	josé arestides de...	buscape		4	IF
189	O celular é bom para quem gosta de jogar em apps divertidos e para quem gosta de saber sobre noticias,ele tem uma boa qualidade e um bom processador,tem poucos pontos negativos e algumas fotos são de baixo ruido, eu acho que o produto é muito bom para as pessoas que gostam de smartphones.	2013-07-28 00:00:00	gabriel serejo lima	buscape		4	SF
190	ele é muito bonito e grande.	2013-07-28 00:00:00		buscape		4	SF
204	uma palavra espetacular????????????????	2013-07-26 00:00:00	julio cezar f da ...	buscape		3	IF
205	Comprei esse celular, trocando um iphone 4s por este. A principal diferença que você encontra esta na tela, bem maior. Isso leva a pensar que o celular ficara desconfortável em seu bolso por ser muito grande e etc, mas na verdade, por ser muito leve, varias vezes você nem sentirá o celular em seu bolso. O principal fator que se deve levar em conta entre comprar este celular ou um iphone, é o sistema operacional. O android que opera esse celular é complexo para aqueles que querem complexo, e simples para os que querem simples, as opções de alterar o modo de usar o aparelho são diversas. No final, o que realmente me desapontava com esse celular é que a bateria pode acabar muito rápido se você não desativar todas as funções extras, nem chegando a durar um dia a bateria. Acordava as 6 e as 8 da noite ja tava nos 10%, seja se você usa o celular ou não. Porem, bateria a parte, um dos melhores celulares que ja usei, e a tela grande realmente é uma beleza de se olhar.	2013-07-25 00:00:00	gabriel giordano	buscape		4	SF
207	Prós: É um produto destinado para quem busca desempenho, ele possui qualidades em todos os aspectos: Câmera, Áudio, Desempenho e Tela. A imagem da tela é bem definida, com níveis de contraste excelentes e brilho acima da média. Ele é capaz de executar jogos pesados sem engasgos. A qualidade de som é boa, não é um dos seus méritos, mas está na média. Com fones de ouvido, ele oferece uma qualidade e distinção de graves melhor, graças aos excelentes fones que acompanham o aparelho. Suporta cartão Micro SD de até 64 Contras: A construção de hardware dele aparenta de má qualidade, igualando ele à celulares com preços baixos, não transmite resistem cia, durabilidade ou qualquer "requinte" esperado nesse nicho de Smartphone. Armazenamento interno limitado, não oferecendo opções com 32 ou 64 gigas obrigando o usuário a adquirir um cartão SD.	2013-07-25 00:00:00	agnaldo gastaldi	buscape		3	SF
212	Com ótimo desing, facilidade no uso e além de tudo muito lindo ele.	2013-07-25 00:00:00	jessica carlos leite	buscape		4	BM
222	MUITO BOM. O S3 É ÓTIMO PRA QUEM GOSTA DE FACILIDADE.	2013-07-24 00:00:00	ecarvalho.meteoro...	buscape		4	IF
230	Nunca vi nem usei, vi apenas vídeos demonstrativos dele. Ótimo aparelho, muito belo, câmera excelente, SO também. O ruim dele que é comum nos vídeos é a bateria que como nesses smartphones top de linha não dura muito tempo. Chegou num ponto em que tudo evolui e melhora menos as baterias. Outra coisa ruim e acho que sempre vai ser ruim em qualquer eletrônico vendido aqui são os altos preços por conta dos malditos impostos. Sei que um aparelho qualquer top de linha é caro é verdade porém em outros países o preço de lançamento deles é igual ao valor daqui quando estão ultrapassados, isso quando eles quase nem diminuem os preços. Resumindo comprar aqui não compensa. ¬¬	2013-07-23 00:00:00	jean	buscape		4	SF
231	Adquiri o produto a pouco tempo , seu valor ainda é bem auto e tenho certeza de que não vou saber e nem precisar usufruir de alguns detalhes que o celular oferece. A sua câmera é perfeita , grava e tira fotos maravilhosas . Adorei pois grava e tira fotos na câmera da frente e que uma qualidade alta . O processador é ótimo e pra quem gosta de novidades e diferenciais pode adquiri-lo que não vai se arrepender . Impossível usá-lo sem película ou case , em 2 dias de uso já havia um pequeno arranhão na tela . É um aparelho muito delicado . Estou satisfeita com ele .	2013-07-23 00:00:00	audrey ribeiro pa...	buscape		4	BM
247	Smartphone com design muito bonito; tela com ótima sensibilidade ao toque; memória interna com muito espaço pra instalar mais e mais aplicativos e nunca chegarmos nem à metade da capacidade; ótimas câmeras (frontal com 1.3MP que permite inclusive chamadas com vídeo e traseira com 8 MP com zoom digital e flash); sua atual versão Android conta com utilidades muito interessantes como Multi-janela (poder ver e usar 2 aplicativos ao mesmo tempo na tela), NFC (que permite compartilhamento de arquivos através do simples toque do aparelho a outro dispositivo com essa mesma tecnologia). Mesmo com a baixa duração da bateria (até aceitável se analisarmos que um aparelho com tantos recursos faz com que não paremos de mexer nele), vale o preço, é uma ótima compra.	2013-07-23 00:00:00	rei	buscape		4	PL
248	Ainda não tive o privilégio de ter um Galaxy S III. Mas conheço pessoas que adiquiriram esse produto e as mesmas me indicaram. Um produto com alta definição de imagens, com uma boa durabilidade, camera 8MP com flash tendo mais uma camera na frontal e etc. Não nos prendendo aos pontos negativos que são pouquissimos. Dito um bom produto.	2013-07-22 00:00:00	daniella oliveira	buscape		4	BM
249	O produto é ótimo! Atendeu a todas as minhas expectativas...	2013-07-22 00:00:00	isabella rios	buscape		4	SF
253	Esse celular é muito bonito, tem uma ótima câmera sem falar no display que é incrível, mas não gosto muito do Sistema Operacional Android nunca gostei mas recomendo sim!	2013-07-21 00:00:00	enock	buscape		4	BM
260	Celular muito funcional, porem a bateria dura muito pouco, e o designe e muito feio.	2013-07-20 00:00:00	noname01	buscape		4	BM
268	Produto muito bom, entretanto a atualização para 4.1.2 do Android tem feito com que ele precise de uma reinicialização cada 2 ou 3 dias por ficar muito lento.	2013-07-19 00:00:00	demian	buscape		4	SF
271	usei um do meu amigo, é muito louco o prcessador é d+ e ele carrega umestilo que me deu vontade de ter um o que me surpreende é o valor do aparelho.	2013-07-18 00:00:00	mc5484@gmail.com	buscape		1	IF
280	Excelente produto, mas por ser um produto feito para americanos, deixa a desejar pelo nosso sistema de acesso de celular.	2013-07-17 00:00:00	carine	buscape		4	SF
395	O produto em si é bom, porém depois de algum tempo de uso não serviu para mim, começou a ficar mais lento a cada atualização do sistema, suas funções são ótimas, eu usava bastante os comandos por voz e também o bluetooth mas o NFC nunca foi útil pra mim, sua tela é bonita e tem boas cores, mas depende do consumidor e do que ele REALMENTE precisa, eu recomendo se você precisa de um celular esperto que atenda comandos e seja grande, mas se você quer um sistema mais fluído eu não recomendo.	2013-07-03 00:00:00	cleonice olimpio	buscape		3	SF
408	Acha um excelente produto, moderno.	2013-07-02 00:00:00	cristina aparecid...	buscape		1	SF
491	Não comprei, mas ouço falarem muito bem!!	2013-06-14 00:00:00	solange zaccaro a...	buscape		1	IF
545	a camera tem uma imagem perfeita.	2013-06-03 00:00:00	priscila rodrigue...	buscape		3	SF
578	foi uma experiência muito boa	2013-05-25 00:00:00	tiago bernardo da...	buscape		1	IF
668	num tenho experiemcia pois é o produto que sonho ter em minha casa	2013-05-06 00:00:00	josé antonio	buscape		1	IF
691	Celular muito bom , com uma teclogia bem avançada porém muito caro pois deveria ter mais melhorias ' Recomendo.	2013-05-03 00:00:00	adriano	buscape		1	SF
985	O processador Quad-Core é o que destaca o produto, com tempo de resposta na tela perfeito dão acesso rápido aos aplicativos e jogos. Tela HD Super Amoled Plus com resolução de 1080x720, tem um ganho de brilho incomparável. Uma noticia boa é que sua tela possui Gorilla Glass 2, diferente do Galaxy S II. A câmera vem os melhores sensores, estabilizando trepidação, contraste, melhor equilíbrio de tons do branco e eliminação de ruídos. Nada a reclamar sobre a economia da bateria pois com a versão do android 4.0 ele compensa a mesma com longa jornadas diárias. Noticia a uma expectativa de uma nova versão do android 5. Contras: Já de cara com o S-Voice onde realizo comando pela voz, na novidade não se encontra a língua portuguesa (BRASIL). Para um SMARTPHONE top de linha, poderia ser mais resistente.	2013-03-20 00:00:00	blacklopes	buscape		3	SF
1004	muito bom	2013-08-23 00:00:00	e-bit	buscape		5	SF
1006	Eu acho que o s3 é ótimo pois todo aparelho tem seus pontos negativos e positivos bom esse tem muito pontos positivos e é isso que encantou nele e alén disso tem bastante coisas e há quase esquesi é o meu s3 tem pouco espaço da memoria. Bom eu recomendo sim, por que além da duração da bateria existe bilhões de outras coisas nele. Eu acho que este produto é perfeito pórém é pefeito para quem gosta dê várias funções ele é especial.	2013-08-09 00:00:00	larissa coelho da...	buscape		5	SF
1008	o produto é bom, mas só no começo... Pros: boa camera, bom desempenho (quando funciona) contras: aparelho trava com o tempo, depois de alguns meses de uso ele apresenta a tal "morte subita" quando o aparelho começa a congelar do nada, sem motivo aparente... e esqueça a samsung não tem uma assistencia técnica decente... é melhor migrar para outra marca...	2013-07-21 00:00:00	josemar	buscape	\0	1	PL
1017	O melhor smartphone que já tive. Não penso em trocar.	2013-05-23 00:00:00	rzcrock	buscape		5	SF
1020	Eu gostaria muito de ter este produto pena que está muito caro e minha mãe não tem tudo isso para comprar	2013-04-23 00:00:00	yasmin gomes de f...	buscape	\0	5	IF
1021	Bom desempenho, mas caro e ainda é feito de plástico. Prefiro o Motorola XT910 de Kevlar. Muito mais prático, fino, cabe no bolso. Não incomoda mesmo sentado ou em um bolso da camisa. No quesito telefonia, a Motorola é superior, daí a Samsung investir em gadgets e outras funcionalidades, pois perde em qualidade de sinal.	2013-04-12 00:00:00	pedro	buscape	\0	1	BM
1022	Não tenho ainda, mas já vi um e é muito bom, quero comprar um.	2013-04-04 00:00:00	david	buscape		5	SF
1025	é simplesmente o celular com mais problemas do mundo! basta uma breve analisada nos comentários no reclame aqui para deixar de comprar na hora! mandei o meu 2x para a assistencia samsung e ele voltou as 2 com o mesmo problema.. o celular desliga sozinho, tranca, perde as ligações feitas e recebidas, descasca... só problema!	2013-03-30 00:00:00	bruna seibert motta	buscape	\0	1	BM
1026	esse galxy s3 e muito bom ele e o celular que eu mais gosto	2013-03-30 00:00:00	moises dutra	buscape		5	SF
1027	muito ruim para qualquer coisa p´refiro o iphone	2013-03-22 00:00:00	luiz gabriel pere...	buscape	\0	1	SF
1030	Comprei e gostei do produto.	2013-03-16 00:00:00	boanerges brites	buscape		5	SF
1039	eu queria saber se vale a pena compra um produto caro O que gostei: a tela e muito grande O que não gostei: o manuseio pode ser complicado	2013-01-01 00:00:00	rodrigo simao dos...	buscape	\0	1	IF
1044	Cuidado para não comprar desavisado! As casas bahia colocaram o link para o SIII Mini no lugar do SIII! Fiquem atentos! O que gostei: Esse GALAXY SIII a 1.169 reais anunciado ai em cima pelas casas Bahia é o Galaxy SIII MINI! Fiquem atentos!! O que não gostei: Não sei se é má fé ou erro, mas o fato é que não é o SIII!	2012-12-26 00:00:00	leandro finotti	buscape	\0	1	IF
1061	O aparelho em sí é bom, porém é extremamente lento, trava demais, independente da quantidade de aplicativos instalados ou abertos no aparelho. Até mesmo na agenda ele trava.	2013-09-26 00:00:00	marcosbsb	buscape	\0	1	BM
1066	Extremamente lento, péssima performance, a tela congela o tempo todo, para abrir uma imagem é extremamente lento, para trocar de tela também. Muito tempo para bater uma foto, além da qualidade que é muito ruim. Em resumo, o maior problema dele é a lentidão.	2013-09-06 00:00:00	sergiowww	buscape	\0	1	PL
1069	Eu acho que esse smartphone além de ter preço bom ele também é bom para usar, eu sei que dura bastante a bateria dele porque meu tio tem um quase igual. Estou pedindo para minha mãe comprar um para mim de aniversário, só que faltam 2 meses para meu aniversário e quando vi essa propaganda tive o interesse de ganhar o ipad.	2013-08-31 00:00:00	eduardo henrique	buscape		5	SF
1070	A bateria dura muito pouco, mesmo no módulo de economia de energia, tirando a beleza do aparelho e o fácil manuseio o celular é muito ruim, principalmente pelo preço que se paga, olha que paguei com desconto muito bom! Não recomendo a compra desse aparelho, a samsung me decepcionou, estou até enviando e-mail para eles a respeito dos constantes travamentos sem qualquer tipo de solução, pelo preço o processador deveria ser pelo menos de dois núcleos e com 1 gb de memória ram, talvez evitaria os constantes travamentos. Sinceramente não gostei do produto.	2013-08-31 00:00:00	denis freitas toledo	buscape	\0	1	PL
1072	esse produto e bom display e rapido abaixa aplicativo rapido camera boa dura bem faiz um ano q tenho e nao deu nem nenhum problema mais a bateria descarrega rapido isso q eu nao gosto tirando a bateria tudo perfeito troca chip rapido som alto camera da frente boa qualidade rapido na internet	2013-08-26 00:00:00	guilherme	buscape		5	SF
1073	Meu celular apresentou defeito no microfone e no hardware. Aparelho lento demais, nao vale o que paguei no lançamento! Atualmente existem marcas melhores que a Samsung no quesito celulares e Smartphone. Aparelho descartável!	2013-08-26 00:00:00	vanessa.moreira.s2	buscape	\0	1	BM
1074	Péssimo processador. Trava toda hora. Vi que vários consumidores aqui perceberam a mesma coisa. Já aconteceu de eu ter de retirar a bateria do aparelho para reiniciá-lo de tão travado. Em vários momentos fica uma lentidão grande para acessar os aplicativos que só melhora se reiniciar o aparelho. Seria um bom aparelho se não fosse esse grande detalhe. Não vale o custo benefício. Se quiser um samsung bom com preço razoável, com as características parecidas, compre um s3 mini.	2013-08-19 00:00:00	delmário	buscape	\0	1	BM
